City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,bengkulu,-3.8004,102.2655,25.92,74,100,3.7,ID,1696299007
352,altay,47.8667,88.1167,12.04,44,14,1.85,CN,1696299733
353,ginir,7.1333,40.7,15.69,78,82,2.4,ET,1696299733
354,kohima,25.6667,94.1167,21.4,83,24,0.88,IN,1696299733
355,arkhangel'sk,64.5401,40.5433,3.4,84,100,2.99,RU,1696299233
356,shimokizukuri,40.8061,140.3861,21.64,53,7,7.74,JP,1696299733
357,hibbing,47.4272,-92.9377,22.68,60,0,3.09,US,1696299733
358,vernon,50.2581,-119.2691,13.12,87,99,0.51,CA,1696299611
359,vendome,47.8,1.0667,18.31,92,100,6.01,FR,1696299733
360,robore,-18.3333,-59.75,29.28,45,11,2.16,BO,1696299072
361,big spring,32.2504,-101.4787,26.25,63,0,6.17,US,1696299220
362,kasongo-lunda,-6.4667,16.8167,21.33,96,100,0.12,CD,1696299734
363,tolanaro,-25.0319,46.9987,19.04,63,75,4.12,MG,1696299734
